chr20	42984444	42984493
chr20	43019279	43019319
chr20	43030012	43030127
chr20	43031193	43031284
chr20	43034697	43034872
chr20	43036020	43036115
chr20	43042333	43042440
chr20	43043146	43043302
chr20	43047064	43047152
chr20	43048360	43048516
chr20	43052657	43052894
chr20	43052657	43053019
chr20	43056974	43057097
chr20	43056974	43057127
chr20	43058162	43058305
chr17	7572926	7573008
chr17	7573926	7574033
chr17	7576536	7576584
chr17	7576624	7576657
chr17	7576852	7576926
chr17	7577018	7577155
chr17	7577498	7577608
chr17	7578176	7578289
chr17	7578370	7578554
chr17	7578370	7578452
chr17	7578370	7578533
chr17	7579311	7579590
chr17	7579699	7579721
chr17	7579838	7579912
chr11	108535880	108536066
chr11	108544193	108544254
chr11	108546322	108546453
chr11	108547811	108547970
chr11	108549041	108549162
chr11	108550097	108550287
chr11	108559662	108559789
chr11	108562602	108562765
chr11	108564242	108564327
chr11	108577465	108577564
chr11	108586605	108586693
chr11	108590523	108590612
chr11	108593723	108594189
chr11	108709172	108709292
chr11	108712041	108712203
chr11	108722879	108722936
chr11	108788599	108788745
chr11	108810972	108811150
chr21	44836621	44836997
chr21	44837422	44837654
chr21	44838139	44838421
chr21	44838900	44839117
chr21	44839232	44839358
chr21	44839738	44839885
chr21	44840113	44840337
chr21	44840889	44841013
chr21	44841122	44841247
chr21	44841517	44841679
chr21	44841853	44841917
chr21	44845286	44845403
chr21	44845902	44846058
